-1.71467,-1.62903,3.52700
-1.71049,-1.62903,3.52700
-1.71527,-1.63758,3.54551
-1.72464,-1.65058,3.57365
-1.72497,-1.65495,3.58313
-1.71165,-1.64622,3.56422
-1.70293,-1.64189,3.55484
-1.70320,-1.64622,3.56422
-1.69898,-1.64622,3.56422
-1.69476,-1.64622,3.56422
-1.67726,-1.63329,3.53623
-1.67746,-1.63758,3.54551
-1.67766,-1.64189,3.55484
-1.66469,-1.63329,3.53623
-1.65185,-1.62479,3.51781
-1.64340,-1.62056,3.50867
-1.63500,-1.61637,3.49958
-1.63085,-1.61637,3.49958
-1.62670,-1.61637,3.49958
-1.62256,-1.61637,3.49958
-1.60593,-1.60390,3.47259
-1.59362,-1.59570,3.45483
-1.58144,-1.58758,3.43725
-1.60182,-1.61219,3.49054
-1.59357,-1.60803,3.48154
-1.58944,-1.60803,3.48154
-1.58532,-1.60803,3.48154
-1.61874,-1.64622,3.56422
-1.62308,-1.65495,3.58313
-1.61029,-1.64622,3.56422
-1.60184,-1.64189,3.55484
-1.59344,-1.63758,3.54551
-1.58924,-1.63758,3.54551
-1.61040,-1.66378,3.60224
-1.62344,-1.68172,3.64108
-1.62791,-1.69083,3.66081
-1.63242,-1.70005,3.68076
-1.65511,-1.72830,3.74194
-1.35336,-1.58758,3.43725
-1.41406,-1.66378,3.60224
-1.53683,-1.81371,3.92686
-1.55021,-1.83505,3.97306
-1.53646,-1.82432,3.94982
-1.50106,-1.78773,3.87060
-1.49647,-1.78773,3.87060
-1.48338,-1.77754,3.84854
0.22212,-0.25792,0.55843
0.22269,-0.25782,0.55820
0.22317,-0.25760,0.55774
0.22374,-0.25750,0.55751
0.22468,-0.25782,0.55820
0.22599,-0.25857,0.55982
0.22694,-0.25889,0.56051
1.53160,-1.32467,2.86802
1.51569,-1.30800,2.83195
1.48176,-1.27590,2.76245
1.47001,-1.26299,2.73449
1.47325,-1.26299,2.73449
1.47649,-1.26299,2.73449
1.47674,-1.26044,2.72897
1.47699,-1.25790,2.72347
1.47427,-1.25285,2.71253
1.45700,-1.23548,2.67493
1.45441,-1.23061,2.66438
1.46916,-1.24039,2.68556
1.50526,-1.26813,2.74561
1.53345,-1.28909,2.79099
1.53994,-1.29175,2.79677
1.53058,-1.28114,2.77380
1.51519,-1.26555,2.74004
1.50622,-1.25537,2.71799
1.50944,-1.25537,2.71799
1.54372,-1.28114,2.77380
1.52201,-1.26044,2.72897
1.51301,-1.25034,2.70709
1.51622,-1.25034,2.70709
1.53171,-1.26044,2.72897
1.53805,-1.26299,2.73449
1.53198,-1.25537,2.71799
1.52599,-1.24784,2.70168
1.52007,-1.24039,2.68556
1.52023,-1.23793,2.68024
1.52644,-1.24039,2.68556
1.52659,-1.23793,2.68024
1.51473,-1.22577,2.65391
1.51194,-1.22097,2.64352
1.52102,-1.22577,2.65391
1.51852,-1.21621,2.63321
1.52164,-1.21621,2.63321
-1.71885,-1.62485,3.52700
-1.71467,-1.62485,3.52700
-1.71049,-1.62485,3.52700
-1.71078,-1.62910,3.53623
-1.72464,-1.64634,3.57365
-1.72041,-1.64634,3.57365
-1.69821,-1.62910,3.53623
-1.69402,-1.62910,3.53623
-1.68983,-1.62910,3.53623
-1.69451,-1.63768,3.55484
-1.68145,-1.62910,3.53623
-1.62205,-1.57549,3.41985
